year,total,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 
1985,"2,965,910","261,937","210,236","275,668","272,943","266,557","255,867","247,734","246,431","207,711","234,227","226,693","259,906"
1986,"2,969,805","279,371","226,665","290,857","284,512","280,248","250,798","252,839","249,894","195,586","219,201","206,454","233,380"
1987,"2,626,959","246,609","183,809","232,917","243,610","250,801","224,857","226,573","233,642","177,669","195,138","188,619","222,715"
1988,"2,718,497","242,342","199,219","250,523","245,284","250,279","224,329","234,842","245,019","185,765","204,848","201,146","234,901"
1989,"2,988,931","262,811","216,319","270,934","261,924","280,575","256,049","253,445","263,551","200,264","231,283","223,348","268,428"
1990,"3,001,640","289,737","234,314","291,323","292,397","293,033","251,100","236,790","239,305","188,705","210,279","214,136","260,521"
1991,"3,043,713","278,866","226,581","293,101","279,138","281,898","238,846","235,416","256,495","205,834","232,012","233,757","281,769"
1992,"3,328,549","298,131","254,661","304,793","295,849","300,610","272,610","278,135","286,168","220,156","256,443","256,562","304,431"
1993,"3,470,589","323,364","269,244","329,246","310,301","323,015","289,149","296,218","311,539","240,834","252,634","237,298","287,747"
1994,"2,997,531","299,783","243,163","289,374","278,766","287,346","262,063","232,598","228,306","197,292","214,544","205,177","259,119"
1995,"3,105,877","276,942","239,445","301,068","288,447","287,847","254,243","239,255","238,108","215,080","238,214","241,319","285,909"
1996,"3,351,084","307,674","268,040","321,732","304,705","310,715","273,637","260,221","271,012","235,536","257,591","246,771","293,450"
1997,"3,375,030","312,408","262,782","321,854","303,433","298,307","272,106","272,792","290,748","224,777","255,917","254,325","305,581"
1998,"3,420,380","323,483","269,707","324,719","301,682","310,518","288,035","280,198","288,785","234,205","247,530","252,861","298,657"
1999,"3,406,545","320,590","270,402","326,036","311,438","312,545","279,319","289,721","263,833","222,593","244,610","258,433","307,025"
2000,"3,420,517","338,833","297,454","344,603","332,842","335,353","288,448","255,506","257,818","206,772","237,000","240,644","285,244"
2001,"3,266,303","300,057","256,856","310,754","295,725","289,896","257,662","237,966","268,442","231,477","254,490","257,808","305,170"
2002,"3,293,367","317,465","274,623","325,906","304,619","302,559","261,153","261,508","263,223","217,089","237,601","239,367","288,254"
2003,"3,339,775","295,621","259,424","315,005","293,647","295,143","264,577","284,776","289,670","221,742","258,398","254,068","307,704"
2004,"3,292,397","301,975","264,590","308,013","290,894","308,574","272,903","261,896","276,654","223,960","248,614","244,436","289,888"
2005,"3,429,456","300,720","262,917","319,978","302,408","304,064","274,733","284,190","289,220","240,926","265,085","272,075","313,140"
2006,"3,408,095","319,601","280,125","326,664","311,433","316,645","278,880","275,667","272,469","228,060","249,821","249,102","299,628"
2007,"3,402,339","311,439","272,306","323,533","312,126","309,976","275,485","281,555","270,856","227,572","253,123","256,272","308,096"
2008,"3,457,962","319,833","288,558","329,609","313,779","319,835","284,723","273,504","274,947","227,404","260,218","257,630","307,922"
2009,"3,570,453","317,914","276,503","336,351","316,115","324,925","289,420","291,196","298,839","252,756","272,487","273,983","319,964"
2010,"3,498,582","323,763","284,824","338,549","321,407","321,055","292,376","292,374","281,296","228,191","257,282","255,661","301,804"
2011,"3,350,909","312,831","273,453","313,487","287,876","297,961","271,412","260,515","270,362","229,452","262,271","260,547","310,742"
2012,"3,527,910","315,632","286,065","334,495","316,702","315,862","285,814","291,244","292,607","237,825","266,099","270,796","314,769"
2013,"3,476,528","318,662","288,565","339,157","321,246","320,073","287,033","277,756","273,978","234,854","253,213","257,466","304,525"
2014,"3,364,492","307,918","265,027","322,462","302,753","303,185","268,280","275,974","278,516","236,316","247,534","254,288","302,239"
2015,"3,389,838","304,357","269,254","318,505","297,955","296,945","270,983","285,858","281,149","250,222","254,811","255,329","304,470"
2016,"3,349,178","305,251","277,208","318,288","302,617","298,934","271,736","281,816","277,316","232,045","245,507","244,881","293,579"
2017,"3,240,814","289,266","256,412","307,678","285,126","293,857","264,159","259,905","268,912","226,917","249,086","248,740","290,756"
2018,"3,243,275","292,995","261,628","315,866","295,369","291,917","265,348","261,977","269,323","217,091","237,565","243,016","291,180"
2019,"3,269,669","286,198","258,297","313,859","295,369","292,634","265,471","280,019","260,327","230,154","242,190","250,143","295,008"
2020,"3,374,111","295,657","278,785","335,008","315,848","318,410","264,526","264,284","258,434","230,274","255,707","259,590","297,588"
2021,"3,542,626","295,934","271,529","322,411","312,107","317,062","284,627","294,081","294,395","263,848","275,994","284,999","325,639"
,,,,,,,,,,,,,
