year,total（month),1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,
1985,"107,489","8,637","8,094","9,032","9,308","9,315","9,212","9,149","9,098","8,613","8,748","8,290","9,993",
1986,"162,862","10,395","9,945","11,822","13,390","14,215","13,669","14,281","15,367","14,392","14,708","14,785","15,893",
1987,"188,966","17,447","16,451","17,861","15,260","16,516","16,379","16,283","15,825","15,112","14,629","13,698","13,505",
1988,"127,206","12,983","11,646","11,805","10,670","11,014","10,761","10,445","9,781","9,527","9,731","9,351","9,492",
1989,"122,874","9,340","9,178","10,503","10,681","11,050","10,685","10,759","10,312","10,076","10,166","9,903","10,221",
1990,"127,873","10,256","9,479","10,818","11,222","11,492","11,185","11,022","10,910","10,468","10,612","10,072","10,337",
1991,"123,585","9,864","9,167","10,471","10,646","10,966","10,459","10,537","10,535","10,182","10,428","10,044","10,286",
1992,"116,193","9,893","9,514","9,453","9,442","10,120","9,887","9,676","9,803","9,656","9,792","9,417","9,540",
1993,"122,707","9,398","8,609","9,674","9,852","10,189","9,741","9,809","11,520","9,770","10,506","11,192","12,447",
1994,"154,014","13,330","13,403","17,457","12,514","12,742","12,562","12,753","12,271","11,814","11,787","11,431","11,950",
1995,"132,904","11,219","10,102","10,948","11,050","11,628","11,250","11,215","11,309","11,119","11,296","10,759","11,009",
1996,"119,363","9,508","9,090","10,231","10,478","11,212","10,142","10,330","10,261","9,495","9,579","9,352","9,685",
1997,"113,762","10,171","9,086","10,228","9,873","9,908","9,479","9,405","9,628","9,281","9,190","8,711","8,802",
1998,"105,372","8,993","8,437","8,921","9,153","9,298","8,761","9,118","8,990","8,652","8,605","8,186","8,258",
1999,"103,080","8,242","7,826","8,865","8,980","9,069","8,931","9,133","8,916","8,621","8,700","7,769","8,028",
2000,"106,451","8,428","8,160","8,766","8,803","8,682","8,790","9,361","9,396","9,420","9,131","8,690","8,824",
2001,"92,686","8,110","7,150","7,632","7,715","7,655","7,534","7,781","8,024","7,746","8,078","7,545","7,716",
2002,"89,648","7,497","6,991","7,676","7,794","7,503","7,303","7,395","7,627","7,712","7,555","7,236","7,359",
2003,"86,195","7,149","6,650","7,221","7,265","7,258","7,035","7,405","7,379","7,251","7,405","6,959","7,218",
2004,"81,844","6,792","6,861","6,456","6,956","7,023","6,960","6,450","7,171","6,529","7,344","6,576","6,726",
2005,"80,424","6,763","6,385","6,425","7,221","6,714","6,527","7,144","7,102","6,309","6,701","6,301","6,832",
2006,"81,226","6,868","6,353","7,716","6,720","6,928","6,561","6,796","6,759","6,712","6,673","6,516","6,624",
2007,"84,338","6,888","6,821","7,551","7,302","6,931","6,949","6,999","7,183","6,831","7,106","6,949","6,828",
2008,"81,507","6,693","6,444","6,761","6,846","6,980","6,750","6,816","6,850","7,024","6,879","6,856","6,608",
2009,"75,854","6,067","5,765","6,169","5,917","6,248","6,218","6,447","6,511","6,518","6,829","6,673","6,492",
2010,"72,276","6,096","5,884","6,173","5,888","5,869","5,843","5,870","6,173","6,159","6,275","6,052","5,994",
2011,"65,338","5,418","5,342","5,443","5,428","5,417","5,367","5,486","5,592","5,744","5,614","5,068","5,419",
2012,"58,638","4,841","4,765","4,882","4,864","4,824","4,965","4,889","4,892","4,872","4,965","4,919","4,960",
2013,"57,207","4,842","4,854","4,716","4,767","4,717","4,726","4,778","4,642","4,755","4,924","4,787","4,699",
2014,"58,832","4,558","4,844","4,637","5,066","5,024","5,049","4,936","4,899","4,910","4,908","4,983","5,018",
2015,"56,535","4,904","4,872","4,936","4,599","4,695","4,634","4,769","4,570","4,683","4,594","4,612","4,667",
2016,"52,573","4,557","4,519","4,606","4,447","4,331","4,213","4,249","4,273","4,344","4,577","4,244","4,213",
2017,"49,231","4,202","4,062","4,078","4,065","4,136","3,949","4,115","4,087","4,114","4,218","4,133","4,072",
2018,"46,147","3,997","3,938","3,975","3,791","3,798","3,755","3,873","3,829","3,837","3,819","3,820","3,715",
2019,"44,206","3,861","3,364","3,614","3,624","3,656","3,719","3,748","3,757","3,761","3,738","3,758","3,606",
2020,"44,546","3,739","3,636","3,737","3,625","3,609","3,722","3,771","3,756","3,758","3,750","3,763","3,680",
2021,"48,456","3,738","3,618","3,732","4,092","4,137","4,236","4,277","4,186","4,157","4,046","4,150","4,087",
