year,Raw milk production,milk,Processed milk and ingredient-controlled milk,Milk beverage production,Fermented milk production,Lactobacillus Beverage Production
1985,"7,380,369","3,648,485","628,038","720,102","187,515","171,842"
1986,"7,456,940","3,675,575","585,478","711,441","207,194","173,237"
1987,"7,334,943","3,857,606","577,862","730,262","225,054","174,169"
1988,"7,606,774","4,043,891","612,168","745,611","262,396","197,315"
1989,"8,058,946","4,160,641","644,773","761,646","288,740","220,044"
1990,"8,189,348","4,260,584","692,224","810,136","306,586","201,034"
1991,"8,259,134","4,242,017","727,656","820,331","300,458","195,420"
1992,"8,576,442","4,242,465","738,443","847,665","354,270","192,988"
1993,"8,625,699","4,174,961","738,960","853,262","393,294","183,381"
1994,"8,388,917","4,335,243","806,875","928,932","464,761","237,907"
1995,"8,382,162","4,249,653","789,667","920,872","487,482","207,798"
1996,"8,656,929","4,222,023","826,717","1,027,759","534,931","207,582"
1997,"8,645,455","4,106,059","835,146","1,155,460","603,240","184,135"
1998,"8,572,421","3,995,644","796,868","1,191,507","643,042","179,755"
1999,"8,459,694","3,897,435","768,559","1,259,554","719,486","176,993"
2000,"8,497,278","3,894,563","676,742","1,216,225","695,268","173,159"
2001,"8,300,488","3,875,298","575,604","1,232,180","685,411","176,105"
2002,"8,385,280","3,919,824","479,478","1,186,886","785,742","181,992"
2003,"8,400,073","3,946,191","415,953","1,163,588","792,216","183,901"
2004,"8,328,951","3,971,177","482,980","1,189,388","777,548","174,060"
2005,"8,285,215","3,822,690","466,939","1,203,215","799,936","173,629"
2006,"8,137,512","3,701,774","448,598","1,242,044","839,324","166,014"
2007,"8,007,417","3,592,408","446,197","1,312,075","844,343","172,770"
2008,"7,982,030","3,508,968","441,616","1,241,363","813,404","178,850"
2009,"7,910,413","3,179,987","624,500","1,179,669","821,389","198,640"
2010,"7,720,456","3,069,268","677,670","1,209,946","840,988","183,835"
2011,"7,474,309","3,064,197","588,898","1,278,500","842,820","178,357"
2012,"7,630,418","3,068,253","517,623","1,331,279","983,566","163,477"
2013,"7,508,261","3,030,519","476,068","1,366,555","1,003,238","157,298"
2014,"7,334,264","2,988,742","467,527","1,330,001","1,001,289","145,640"
2015,"7,379,234","3,005,406","450,905","1,306,315","1,054,932","148,340"
2016,"7,393,717","3,049,421","438,742","1,238,828","1,104,917","140,011"
2017,"7,276,523","3,090,779","448,207","1,177,800","1,072,051","124,495"
2018,"7,289,227","3,141,688","414,331","1,129,372","1,067,820","125,563"
2019,"7,313,530","3,160,464","411,079","1,127,879","1,029,592","115,992"
2020,"7,438,218","3,179,724","394,132","1,108,195","1,059,866","117,248"
2021,"7,592,061","3,193,854","382,075","1,058,886","1,033,721","113,009"
,,,,,,
